NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
SPECTRUM BRANDS HOLDINGS INC (NEW),Common Stock,84790A105,"10,050","118,183",SH,,SOLE,,"21,258",0,"96,924"
SPECTRUM PHARMACEUTICALS INC,Common Stock,84763A108,"3,802","1,013,820",SH,,SOLE,,"903,164",0,"110,656"
SPERO THERAPEUTICS INC,Common Stock,84833T103,418,"29,947",SH,,SOLE,,"12,101",0,"17,846"
SPIRE INC,Common Stock,84857L101,"25,489","352,689",SH,,SOLE,,"303,995",0,"48,694"
SPIRIT AEROSYSTEMS HOLDINGS IN,Common Stock,848574109,"51,130","1,083,495",SH,,SOLE,,"483,972",0,"599,523"
SPIRIT AIRLS INC COM,Common Stock,848577102,"2,938","96,532",SH,,SOLE,,"91,193",0,"5,339"
SPIRIT RLTY CAP INC COM,REIT,84860W300,"10,141","211,970",SH,,SOLE,,"184,189",0,"27,781"
SPLUNK INC COM,Common Stock,848637104,"28,218","195,176",SH,,SOLE,,"179,230",0,"15,945"
SPOK HOLDINGS INC,Common Stock,84863T106,746,"77,496",SH,,SOLE,,"73,561",0,"3,936"
SPORTSMANS WHSE HLDGS COM,Common Stock,84920Y106,700,"39,395",SH,,SOLE,,"27,758",0,"11,637"
SPOTIFY TECHNOLOGY SA,Common Stock,L8681T102,"39,522","143,407",SH,,SOLE,,"127,765",0,"15,642"
SPRINGWORKS THERAPEUTICS INC,Common Stock,85205L107,"2,260","27,425",SH,,SOLE,,"13,721",0,"13,704"
Sprout Social Inc,Common Stock,85209W109,"6,107","68,301",SH,,SOLE,,"37,711",0,"30,590"
SPROUTS FARMERS MARKET INC,Common Stock,85208M102,"15,011","604,047",SH,,SOLE,,"320,001",0,"284,046"
SPS COMM INC COM,Common Stock,78463M107,"13,479","134,993",SH,,SOLE,,"101,074",0,"33,919"
SPX CORP,Common Stock,784635104,"15,592","255,277",SH,,SOLE,,"97,064",0,"158,213"
SPX FLOW INC,Common Stock,78469X107,"10,507","161,053",SH,,SOLE,,"96,159",0,"64,894"
SQUARE INC - A,Common Stock,852234103,"109,700","449,959",SH,,SOLE,,"412,642",0,"37,317"
SQUARESPACE IN-A EQUITY,Common Stock,85225A107,"1,123","18,901",SH,,SOLE,,0,0,"18,901"
SS&C TECHNOLOGIES INC COM,Common Stock,78467J100,"15,290","212,183",SH,,SOLE,,"197,172",0,"15,011"
SSSS - SuRo Capital Corp,Common Stock,86887Q109,"5,629","417,240",SH,,SOLE,,0,0,"417,240"
ST JOE CO/THE,Common Stock,790148100,"4,954","111,048",SH,,SOLE,,"101,520",0,"9,528"
STAAR SURGICAL CO COM PAR $0.01,Common Stock,852312305,"11,929","78,225",SH,,SOLE,,"43,215",0,"35,010"
STAG INDL INC COM REIT,REIT,85254J102,"8,769","234,286",SH,,SOLE,,"214,176",0,"20,110"
STAMPS.COM INC,Common Stock,852857200,"17,073","85,243",SH,,SOLE,,"78,455",0,"6,788"
STANDARD BK GROUP LTD SPONSORED ADR,ADR,853118206,"3,483","389,608",SH,,SOLE,,"238,735",0,"150,873"
STANDARD CHARTERED- UNSP ADR,ADR,853254100,"10,106","794,215",SH,,SOLE,,"715,779",0,"78,436"
STANDARD LIFE ABE - UNSPON ADR,ADR,00108N100,207,"13,550",SH,,SOLE,,"2,916",0,"10,634"
STANDARD MOTOR PRODUCTS INC,Common Stock,853666105,"1,371","31,620",SH,,SOLE,,"28,432",0,"3,188"
STANDEX INTERNATIONAL CORP,Common Stock,854231107,"9,261","97,580",SH,,SOLE,,"48,834",0,"48,746"
STANLEY BLACK & DECKER INC,Common Stock,854502101,"145,119","707,933",SH,,SOLE,,"572,568",0,"135,365"
STAR BULK CARRIERS CORP,Common Stock,Y8162K204,"1,525","66,448",SH,,SOLE,,"66,448",0,0
STARBUCKS CORP,Common Stock,855244109,"517,712","4,630,285",SH,,SOLE,,"3,800,305",0,"829,980"
STARWOOD PROPERTY TRUST INC REIT,REIT,85571B105,"29,523","1,128,128",SH,,SOLE,,"450,503",0,"677,625"
STATE AUTO FINANCIAL CORP,Common Stock,855707105,817,"47,727",SH,,SOLE,,"45,337",0,"2,390"
STATE STREET CORP,Common Stock,857477103,"137,408","1,670,007",SH,,SOLE,,"1,095,718",0,"574,289"
STEEL DYNAMICS INC COM,Common Stock,858119100,"74,679","1,253,003",SH,,SOLE,,"603,008",0,"649,995"
STEELCASE INC,Common Stock,858155203,"2,022","133,827",SH,,SOLE,,"104,330",0,"29,497"
STELLANTIS NV,Common Stock,N82405106,"48,229","2,446,934",SH,,SOLE,,"2,305,116",0,"141,819"
STEM INC,Common Stock,85859N102,455,"12,646",SH,,SOLE,,"11,863",0,783
STEPAN CO,Common Stock,858586100,"7,561","62,869",SH,,SOLE,,"49,180",0,"13,689"
STEPSTONE GROUP INC- CLASS A,Common Stock,85914M107,524,"15,239",SH,,SOLE,,"15,208",0,31
Stereotaxis Inc,Common Stock,85916J409,"1,428","148,086",SH,,SOLE,,"5,774",0,"142,312"
STERICYCLE INC,Common Stock,858912108,"11,548","161,393",SH,,SOLE,,"143,104",0,"18,289"
STERIS PLC,Common Stock,G8473T100,"45,608","221,075",SH,,SOLE,,"185,702",0,"35,372"
STERLING BANCORP INC/MI,Common Stock,85917W102,285,"62,658",SH,,SOLE,,"53,845",0,"8,813"
STERLING BANCORP/DE,Common Stock,85917A100,"21,282","858,505",SH,,SOLE,,"638,265",0,"220,240"
STERLING CONSTRUCTION CO INC,Common Stock,859241101,483,"20,005",SH,,SOLE,,"18,460",0,"1,545"
STEVEN MADDEN LTD,Common Stock,556269108,"12,208","278,985",SH,,SOLE,,"213,184",0,"65,801"
STEWART INFORMATION SERVICES C,Common Stock,860372101,"8,254","145,603",SH,,SOLE,,"76,246",0,"69,357"
STIFEL FINANCIAL CORP,Common Stock,860630102,"17,973","277,110",SH,,SOLE,,"241,970",0,"35,140"
STITCH FIX INC-CLASS A,Common Stock,860897107,"4,517","74,907",SH,,SOLE,,"71,708",0,"3,199"
STMICROELECTRONICS N V NY REGISTRY,NY Reg Shrs,861012102,"39,603","1,088,590",SH,,SOLE,,"973,717",0,"114,873"
STOCK YARDS BANCORP INC,Common Stock,861025104,"1,756","34,500",SH,,SOLE,,"33,905",0,595
STONECO LTD-A,Common Stock,G85158106,"24,113","359,572",SH,,SOLE,,"340,934",0,"18,638"
STONERIDGE INC,Common Stock,86183P102,300,"10,177",SH,,SOLE,,"10,012",0,165
StoneX Group Inc,Common Stock,861896108,"2,279","37,568",SH,,SOLE,,"35,012",0,"2,556"
STORA ENSO CORP SPON ADR REP R,ADR,86210M106,"18,232","1,000,651",SH,,SOLE,,"880,104",0,"120,548"
STORE CAP CORP COM,REIT,862121100,"13,330","386,253",SH,,SOLE,,"345,670",0,"40,583"
STRATASYS INC,Common Stock,M85548101,339,"13,090",SH,,SOLE,,"7,495",0,"5,595"
STRATEGIC EDUCATION INC,Common Stock,86272C103,"3,668","48,221",SH,,SOLE,,"34,150",0,"14,071"
STRAUMANN HOLDING AG-UNS ADR,ADR,86317T103,"12,651","155,149",SH,,SOLE,,"143,829",0,"11,320"
STREETTRACKS SER TR SPDR S&P DIVID,ETF,78464A763,"2,906","23,766",SH,,SOLE,,"23,517",0,249
STRIDE INC,Common Stock,86333M108,"1,707","53,130",SH,,SOLE,,"7,686",0,"45,444"
STRONGBRIDGE BIOPHARMA PLC,Common Stock,G85347105,168,"56,585",SH,,SOLE,,"45,091",0,"11,494"
STRYKER CORP,Common Stock,863667101,"282,094","1,086,105",SH,,SOLE,,"928,964",0,"157,141"
STURM RUGER & CO INC,Common Stock,864159108,"4,157","46,200",SH,,SOLE,,"34,123",0,"12,077"
SUBARU CORP,ADR,86428V104,"19,722","1,994,150",SH,,SOLE,,"1,789,740",0,"204,410"
SUBSEA 7 S A SPONSORED ADR,ADR,864323100,521,"54,257",SH,,SOLE,,"54,257",0,0
SUEZ-SPONSORED ADR,ADR,864691209,"28,466","2,368,257",SH,,SOLE,,"2,125,802",0,"242,455"
SUMCO CORPORATION ADR,ADR,86558P109,595,"12,008",SH,,SOLE,,"11,976",0,32
SUMITOMO CHEM CO LTD ADR,ADR,865612105,"16,484","621,814",SH,,SOLE,,"544,475",0,"77,339"
SUMITOMO CORP SPONSORED ADR,ADR,865613103,"20,562","1,534,444",SH,,SOLE,,"1,364,707",0,"169,737"
SUMITOMO ELEC INDS LTD ADR,ADR,865617203,301,"19,954",SH,,SOLE,,"8,103",0,"11,851"
SUMITOMO METAL MNG CO ADR,ADR,86563T104,"1,594","163,683",SH,,SOLE,,"152,120",0,"11,563"
SUMITOMO MITSUI FINL SPONSORED ADR,ADR,86562M209,"74,663","10,836,426",SH,,SOLE,,"9,003,499",0,"1,832,927"
SUMITOMO MITSUI TR SPONSORED ADR,ADR,86562X106,"25,108","8,047,540",SH,,SOLE,,"7,166,444",0,"881,096"
SUMMIT HOTEL PPTYS INC COM,REIT,866082100,"9,693","1,038,874",SH,,SOLE,,"984,982",0,"53,892"
SUMMIT MATERIALS INC - CL A,Common Stock,86614U100,"7,895","226,556",SH,,SOLE,,"153,414",0,"73,142"
SUMO LOGIC INC,Common Stock,86646P103,"1,275","61,736",SH,,SOLE,,"53,865",0,"7,871"
SUN ART RETAIL GRP LTD ADR,ADR,866633100,158,"21,038",SH,,SOLE,,"21,038",0,0
SUN COMMUNITIES INC REIT,REIT,866674104,"37,060","216,217",SH,,SOLE,,"200,280",0,"15,937"
SUN HUNG KAI PPTYS LTD SPONSORED ADR,ADR,86676H302,"59,799","3,999,903",SH,,SOLE,,"3,670,275",0,"329,628"
SUN LIFE FINANCIAL INC,Common Stock,866796105,"19,957","387,209",SH,,SOLE,,"368,407",0,"18,802"
SUNCOKE ENERGY INC,Common Stock,86722A103,"1,728","242,002",SH,,SOLE,,"225,665",0,"16,337"
SUNCOR ENERGY INC,Common Stock,867224107,"21,513","897,516",SH,,SOLE,,"850,770",0,"46,746"
SUNCORP GROUP LTD-SPON ADR,ADR,86723Y308,369,"44,566",SH,,SOLE,,"9,851",0,"34,715"
SUNNOVA ENERGY INTERNATIONAL,Common Stock,86745K104,"2,700","71,695",SH,,SOLE,,"64,520",0,"7,175"
SUNNY OPTICAL TECH-UNSP ADR,ADR,86745T105,"7,399","23,488",SH,,SOLE,,"21,282",0,"2,206"
SUNPOWER CORP,Common Stock,867652406,"1,867","63,886",SH,,SOLE,,"61,451",0,"2,435"
SUNRUN INC COM,Common Stock,86771W105,"13,071","234,327",SH,,SOLE,,"221,892",0,"12,435"
SUNSTONE HOTEL INVESTORS INC REIT,REIT,867892101,"5,390","433,972",SH,,SOLE,,"384,941",0,"49,031"
SUNTORY BEVER & FOOD ADS,ADR,86803T104,"22,496","1,196,600",SH,,SOLE,,"1,090,495",0,"106,105"
SUPER MICRO COMPUTER INC,Common Stock,86800U104,"10,412","295,951",SH,,SOLE,,"11,561",0,"284,390"
SUPERIOR GROUP OF COS INC,Common Stock,868358102,379,"15,870",SH,,SOLE,,"11,285",0,"4,585"
SUPERNUS PHARMA INC COM,Common Stock,868459108,"4,578","148,684",SH,,SOLE,,"123,716",0,"24,968"
SURGERY PARTNERS INC COM,Common Stock,86881A100,"3,927","58,952",SH,,SOLE,,"18,591",0,"40,361"
SURGUTNEFTEGAZ JSC SPON ADR PFD,ADR,868861105,"5,551","892,511",SH,,SOLE,,"834,694",0,"57,817"
SURMODICS INC,Common Stock,868873100,"1,779","32,795",SH,,SOLE,,"29,484",0,"3,311"
Sutro Biopharma Inc,Common Stock,869367102,227,"12,228",SH,,SOLE,,"12,067",0,161
SUZANO PAPEL E CELULO-SP ADR,ADR,86959K105,"1,838","152,642",SH,,SOLE,,"133,398",0,"19,244"
SUZUKI MTR CORP ADR,ADR,86959X107,"7,497","44,284",SH,,SOLE,,"39,759",0,"4,525"
SVB FINANCIAL GROUP,Common Stock,78486Q101,"120,444","216,458",SH,,SOLE,,"174,279",0,"42,179"
SVENSKA HANDELSBANKEN ADR,ADR,86959C103,"29,077","5,187,769",SH,,SOLE,,"4,520,285",0,"667,484"
SWATCH GROUP AG ADR,ADR,870123106,"16,052","935,429",SH,,SOLE,,"856,197",0,"79,231"
SWEDBANK AB ADR,ADR,870195104,"19,272","1,030,035",SH,,SOLE,,"872,392",0,"157,643"
SWEDISH MATCH AB,Common Stock,W9376L154,145,"16,650",SH,,SOLE,,"7,830",0,"8,820"
SWEDISH MATCH AB-UNSPON ADR,ADR,870309606,"26,436","3,106,433",SH,,SOLE,,"2,817,306",0,"289,127"
SWIRE PAC LTD SPON ADR A,ADR,870794302,"28,987","4,326,359",SH,,SOLE,,"3,815,944",0,"510,415"
Swiss Life Holding AG,ADR,8.71E+104,"2,152","89,880",SH,,SOLE,,"78,528",0,"11,352"
SWISS RE LTD SPONSORED ADR,ADR,870886108,"28,219","1,248,622",SH,,SOLE,,"1,145,598",0,"103,024"
SWISSCOM AG-SPONSORED ADR,ADR,871013108,"34,790","607,926",SH,,SOLE,,"555,296",0,"52,630"
SWITCH INC - A,Common Stock,87105L104,"6,317","299,250",SH,,SOLE,,"192,648",0,"106,601"
SYKES ENTERPRISES INC,Common Stock,871237103,"10,555","196,558",SH,,SOLE,,"116,294",0,"80,264"
SYMRISE AG - ADR,ADR,87155N109,"43,332","1,242,767",SH,,SOLE,,"1,101,172",0,"141,595"
SYNAPTICS INC,Common Stock,87157D109,"11,915","76,587",SH,,SOLE,,"56,175",0,"20,412"
SYNCHRONY FINL COM,Common Stock,87165B103,"153,532","3,164,311",SH,,SOLE,,"2,000,698",0,"1,163,613"
SYNDAX PHARMACEUTICALS INC,Common Stock,87164F105,537,"31,289",SH,,SOLE,,"29,598",0,"1,691"
SYNEOS HEALTH INC,Common Stock,87166B102,"24,826","277,417",SH,,SOLE,,"80,356",0,"197,061"
SYNLOGIC INC,Common Stock,87166L100,106,"27,348",SH,,SOLE,,"27,348",0,0
SYNNEX CORP,Common Stock,87162W100,"12,219","100,356",SH,,SOLE,,"64,654",0,"35,701"
SYNOPSYS INC,Common Stock,871607107,"118,225","428,676",SH,,SOLE,,"365,708",0,"62,968"
SYNOVUS FINANCIAL CORP,Common Stock,87161C501,"27,684","630,913",SH,,SOLE,,"578,645",0,"52,269"
SYROS PHARMACEUTICALS INC,Common Stock,87184Q107,104,"19,110",SH,,SOLE,,"16,621",0,"2,489"
SYSCO CORP,Common Stock,871829107,"169,341","2,178,015",SH,,SOLE,,"1,582,393",0,"595,622"
SYSMEX CORP UNSPONS ADR,ADR,87184P109,"56,962","959,433",SH,,SOLE,,"855,176",0,"104,257"
Systemax Inc,Common Stock,3.79E+106,380,"10,355",SH,,SOLE,,"5,872",0,"4,483"
T ROWE PRICE GROUP INC,Common Stock,74144T108,"193,639","978,124",SH,,SOLE,,"809,849",0,"168,275"
T&D HOLDINGS INC-UNSPON ADR,ADR,872120100,"1,941","302,002",SH,,SOLE,,"232,752",0,"69,250"
TABCORP HLDGS LTD ADR,ADR,873306302,441,"56,791",SH,,SOLE,,"3,431",0,"53,360"
TABULA RASA HEALTHCARE INC,Common Stock,873379101,"2,035","40,693",SH,,SOLE,,"29,992",0,"10,701"
TACTILE SYSTEMS TECHNOLOGY I,Common Stock,87357P100,"2,786","53,575",SH,,SOLE,,"38,852",0,"14,723"
TAISHO PHARMA HOLD UNSP- ADR,ADR,87402P105,"1,664","124,926",SH,,SOLE,,"103,505",0,"21,421"
TAIWAN SEMICONDUCTOR MFG LTD SPONSORED ADR,ADR,874039100,"232,598","1,935,738",SH,,SOLE,,"1,553,215",0,"382,523"
TAKEDA PHARMACEUTICAL CO LTD,ADR,874060205,"63,492","3,772,537",SH,,SOLE,,"2,703,596",0,"1,068,941"
TAKE-TWO INTERACTIVE SOFTWARE,Common Stock,874054109,"62,606","353,666",SH,,SOLE,,"270,664",0,"83,002"
TAL EDUCATION GROUP,ADR,874080104,"4,759","188,632",SH,,SOLE,,"180,620",0,"8,012"
TALEND SA - ADR,ADR,874224207,885,"13,487",SH,,SOLE,,"13,402",0,85
Talis Biomedical Corp,Common Stock,87424L108,557,"50,496",SH,,SOLE,,"8,263",0,"42,233"
TALOS ENERGY INC,Common Stock,87484T108,"3,544","226,611",SH,,SOLE,,"218,615",0,"7,996"
TANDEM DIABETES CARE INC,Common Stock,875372203,"5,125","52,623",SH,,SOLE,,"47,645",0,"4,978"
TANGER FACTORY OUTLET CENTER REIT,REIT,875465106,"8,705","461,798",SH,,SOLE,,"342,230",0,"119,568"
TAPESTRY INC,Common Stock,876030107,"53,351","1,227,029",SH,,SOLE,,"966,987",0,"260,042"
TARGA RESOURCES CORP,Common Stock,87612G101,"50,082","1,126,700",SH,,SOLE,,"1,045,576",0,"81,124"
TARGET CORP,Common Stock,8.76E+110,"741,788","3,068,537",SH,,SOLE,,"2,028,436",0,"1,040,101"
TARGET HOSPITALITY CORP,Common Stock,87615L107,124,"33,408",SH,,SOLE,,"31,895",0,"1,513"
TARO PHARMACEUTICAL INDS LTD ORD,Common Stock,M8737E108,"4,357","60,545",SH,,SOLE,,"56,486",0,"4,059"
TATA MOTORS LTD SPONSORED ADR,ADR,876568502,"31,111","1,365,720",SH,,SOLE,,"1,301,863",0,"63,857"
TATE & LYLE PLC SPONSORED ADR,ADR,876570607,328,"8,024",SH,,SOLE,,"8,015",0,9
Tatneft PJSC,ADR,876629205,904,"20,923",SH,,SOLE,,"20,394",0,529
TAYLOR MORRISON HOME CL A,Common Stock,87724P106,"19,159","725,171",SH,,SOLE,,"447,690",0,"277,481"
TC ENERGY CORP,Common Stock,87807B107,"19,518","394,136",SH,,SOLE,,"381,552",0,"12,583"
TCR2 THERAPEUTICS INC,Common Stock,87808K106,935,"56,990",SH,,SOLE,,"11,732",0,"45,258"
TDK CORP - SPONSORED ADR,ADR,872351408,"27,195","224,992",SH,,SOLE,,"203,508",0,"21,484"
TE CONNECTIVITY LTD,Common Stock,H84989104,"115,562","854,683",SH,,SOLE,,"765,474",0,"89,209"
TEAM INC,Common Stock,878155100,"1,448","216,153",SH,,SOLE,,"81,412",0,"134,741"
TeamViewer AG,ADR,87816Y106,"5,550","296,970",SH,,SOLE,,"273,622",0,"23,348"
TECHNIP ENERGIES ADR - SPON,ADR,87854Y109,"1,371","100,483",SH,,SOLE,,"88,410",0,"12,073"
TECHNIPFMC PLC,Common Stock,G87110105,"9,174","1,013,748",SH,,SOLE,,"890,917",0,"122,831"
TECHNOPRO HOLDINGS-SPON ADR,ADR,87875T204,"2,391","160,683",SH,,SOLE,,"30,904",0,"129,779"
TECHTARGET INC,Common Stock,87874R100,"6,834","88,195",SH,,SOLE,,"55,526",0,"32,669"
TECHTRONIC INDS LTD SPONSORED ADR,ADR,87873R101,"52,674","601,090",SH,,SOLE,,"478,078",0,"123,013"
TECK RESOURCES LTD,Common Stock,878742204,"12,973","563,043",SH,,SOLE,,"549,882",0,"13,161"
TEEKAY CORP,Common Stock,Y8564W103,50,"13,324",SH,,SOLE,,"13,324",0,0
TEGNA INC,Common Stock,87901J105,"23,465","1,250,825",SH,,SOLE,,"413,037",0,"837,788"
TEIJIN LTD ADR,ADR,879063204,376,"24,832",SH,,SOLE,,"23,927",0,905
TEJON RANCH CO DEL COM,Common Stock,879080109,242,"15,898",SH,,SOLE,,"15,700",0,198
TELADOC HEALTH INC,Common Stock,87918A105,"20,139","121,107",SH,,SOLE,,"111,538",0,"9,569"
TELE2 AB ADR,ADR,87952P307,"3,058","455,079",SH,,SOLE,,"400,029",0,"55,050"
TELECOM ARGENTINA STET FRANCE TELECOM ADR,ADR,879273209,755,"141,964",SH,,SOLE,,"136,726",0,"5,238"
TELECOM ITALIA SPA-SPON ADR,ADR,87927Y201,"5,301","1,007,769",SH,,SOLE,,"885,011",0,"122,759"
TELECOM ITALIA SPA-SPON ADR,ADR,87927Y102,"11,667","2,324,075",SH,,SOLE,,"2,013,938",0,"310,137"
TELEDYNE TECHNOLOGIES INC,Common Stock,879360105,"48,440","115,656",SH,,SOLE,,"82,167",0,"33,489"
TELEFLEX INC,Common Stock,879369106,"78,053","194,264",SH,,SOLE,,"99,037",0,"95,226"
TELEFONICA BRASIL SA,ADR,87936R205,875,"102,936",SH,,SOLE,,"99,227",0,"3,709"
TELEFONICA S A SPONSORED ADR,ADR,879382208,"26,712","5,683,416",SH,,SOLE,,"4,996,237",0,"687,179"
TELENOR ASA SPONSORED ADR,ADR,87944W105,"13,869","820,632",SH,,SOLE,,"760,712",0,"59,921"
TELEPERFORMANCE SA ADR,ADR,87946F100,"28,402","139,688",SH,,SOLE,,"105,759",0,"33,929"
TELEPHONE & DATA SYSTEMS INC,Common Stock,879433829,"5,642","248,990",SH,,SOLE,,"220,996",0,"27,994"
TELIASONERA A B SPONSORED ADR,ADR,87960M205,"26,001","2,934,681",SH,,SOLE,,"2,629,646",0,"305,035"
TELLURIAN INC,Common Stock,87968A104,786,"169,006",SH,,SOLE,,"144,723",0,"24,283"
TELOS CORPORATION,Common Stock,87969B101,"1,003","29,479",SH,,SOLE,,"29,479",0,0
TELSTRA CORP LTD SPON ADR,ADR,87969N204,"37,641","2,681,449",SH,,SOLE,,"2,487,921",0,"193,528"
TELUS CORP NON-VTG SHS,Common Stock,87971M103,"9,640","429,779",SH,,SOLE,,"422,184",0,"7,595"
TEMENOS AG-SP ADR,ADR,87974R208,"16,023","99,605",SH,,SOLE,,"88,488",0,"11,117"
Templeton Emerging Markets Inc,Closed-End Fund,880192109,"9,035","1,133,670",SH,,SOLE,,"294,440",0,"839,230"
TEMPLETON GLOBAL INCOME FUND,Closed-End Fund,880198106,"23,355","4,170,605",SH,,SOLE,,"965,145",0,"3,205,460"
TEMPUR SEALY INTERNATIONAL INC,Common Stock,88023U101,"12,250","312,571",SH,,SOLE,,"280,642",0,"31,928"
TENABLE HOLDINGS INC,Common Stock,88025T102,"5,488","132,716",SH,,SOLE,,"85,784",0,"46,932"
TENAGA NASIONAL BERHAD SPONSORED ADR,ADR,880277108,594,"62,514",SH,,SOLE,,"57,932",0,"4,582"
TENARIS SA ADR,ADR,88031M109,"28,939","1,321,400",SH,,SOLE,,"1,176,041",0,"145,359"
TENCENT HOLDINGS LTD,Common Stock,G87572163,401,"5,330",SH,,SOLE,,"4,241",0,"1,089"
TENCENT HOLDINGS LTD - ADR,ADR,88032Q109,"121,167","1,609,126",SH,,SOLE,,"1,377,632",0,"231,494"
TENCENT MUSIC ENTERTAINM-ADR,ADR,88034P109,"5,545","358,225",SH,,SOLE,,"272,604",0,"85,621"
TENET HEALTHCARE CORP,Common Stock,88033G407,"14,714","219,642",SH,,SOLE,,"130,476",0,"89,166"
TENNANT CO,Common Stock,880345103,"5,443","68,163",SH,,SOLE,,"33,023",0,"35,140"
TENNECO INC,Common Stock,880349105,"2,164","111,995",SH,,SOLE,,"92,019",0,"19,976"
TERADATA CORP,Common Stock,88076W103,"14,315","286,479",SH,,SOLE,,"266,418",0,"20,060"
TERADYNE INC,Common Stock,880770102,"60,318","450,268",SH,,SOLE,,"382,000",0,"68,268"
TEREX CORP,Common Stock,880779103,"9,973","209,419",SH,,SOLE,,"181,159",0,"28,260"
Terminix Global Holdings Inc,Common Stock,8.81E+104,"13,250","277,723",SH,,SOLE,,"268,068",0,"9,655"
TERNIUM SA-SPONSORED ADR,ADR,880890108,"2,323","60,393",SH,,SOLE,,"57,416",0,"2,977"
TERRENO RLTY CORP COM,REIT,88146M101,"8,003","124,037",SH,,SOLE,,"100,400",0,"23,637"
TERUMO CORP-UNSPON ADR,ADR,88156J105,"15,079","371,684",SH,,SOLE,,"274,631",0,"97,053"
TESCO PLC SPONSORED ADR,ADR,881575401,"20,964","2,258,437",SH,,SOLE,,"2,019,154",0,"239,283"
TESLA INC,Common Stock,88160R101,"1,379,626","2,029,757",SH,,SOLE,,"1,763,846",0,"265,911"
TETRA TECH INC,Common Stock,88162G103,"19,350","158,555",SH,,SOLE,,"82,784",0,"75,771"
TETRA TECHNOLOGIES INC,Common Stock,88162F105,143,"32,871",SH,,SOLE,,"32,871",0,0
TEVA PHARMACEUTICAL-SP ADR,ADR,881624209,"51,313","5,183,181",SH,,SOLE,,"4,379,909",0,"803,272"
TEXAS CAPITAL BANCSHARES INC,Common Stock,88224Q107,"7,728","121,716",SH,,SOLE,,"111,811",0,"9,905"
TEXAS INSTRUMENTS INC,Common Stock,882508104,"811,686","4,220,939",SH,,SOLE,,"3,586,934",0,"634,005"
TEXAS PACIFIC LAND TRUST,Common Stock,88262P102,"2,737","1,711",SH,,SOLE,,798,0,913
TEXAS ROADHOUSE INC,Common Stock,882681109,"10,967","114,003",SH,,SOLE,,"83,547",0,"30,456"
TEXTAINER GROUP HOLDINGS LTD,Common Stock,G8766E109,"4,734","140,192",SH,,SOLE,,"38,551",0,"101,641"
TEXTRON INC,Common Stock,883203101,"102,696","1,493,320",SH,,SOLE,,"854,386",0,"638,934"
TFS FINANCIAL CORP,Common Stock,87240R107,"8,953","441,020",SH,,SOLE,,"186,780",0,"254,239"
TG THERAPEUTICS INC COM,Common Stock,88322Q108,"5,113","131,800",SH,,SOLE,,"123,662",0,"8,138"
Thales SA,ADR,883219206,"2,108","103,395",SH,,SOLE,,"96,497",0,"6,898"
THE ADT CORPORATION COM,Common Stock,00090Q103,"3,877","359,292",SH,,SOLE,,"337,398",0,"21,895"
THE CARLYLE GROUP INC,Common Stock,14316J108,"1,381","29,713",SH,,SOLE,,"16,311",0,"13,402"
THE ODP CORP,Common Stock,88337F105,"9,572","199,369",SH,,SOLE,,"146,484",0,"52,885"
THERAVANCE BIOPHARMA INC,Common Stock,G8807B106,309,"21,300",SH,,SOLE,,"17,766",0,"3,534"
THERMO FISHER SCIENTIFIC INC,Common Stock,883556102,"716,221","1,419,749",SH,,SOLE,,"1,232,030",0,"187,719"
THERMON GROUP HLDGS IN COM,Common Stock,88362T103,433,"25,408",SH,,SOLE,,"5,650",0,"19,758"
THK Co Ltd,ADR,872434105,"13,477","903,907",SH,,SOLE,,"807,594",0,"96,313"
THOMSON REUTERS CORP,Common Stock,884903709,"40,117","403,914",SH,,SOLE,,"391,876",0,"12,038"
THOR INDUSTRIES INC,Common Stock,885160101,"18,653","165,075",SH,,SOLE,,"126,620",0,"38,455"
THULE GROUP AB-UNSP ADR,ADR,88604M106,459,"20,541",SH,,SOLE,,"20,491",0,50
THYSSENKRUPP AG-SPON ADR,ADR,88629Q207,"3,832","364,945",SH,,SOLE,,"331,491",0,"33,454"
TIDEWATER INC COM,Common Stock,88642R109,528,"43,825",SH,,SOLE,,"42,013",0,"1,812"
TILLYS INC CL A,Common Stock,886885102,"1,406","87,965",SH,,SOLE,,"87,965",0,0
TIM PARTICIPACOES SA SPONS ADR PFD,ADR,88706T108,"1,614","140,091",SH,,SOLE,,"135,181",0,"4,910"
TIMKEN CO,Common Stock,887389104,"46,465","576,563",SH,,SOLE,,"287,508",0,"289,055"
TIMKENSTEEL CORP,Common Stock,887399103,"2,730","192,925",SH,,SOLE,,"181,586",0,"11,339"
TISHMAN SPEYER INNOVATION CO,Unit,88825H209,664,"65,881",SH,,SOLE,,0,0,"65,881"
TITAN INTERNATIONAL INC,Common Stock,88830M102,"2,335","275,334",SH,,SOLE,,"95,022",0,"180,312"
TITAN MACHINERY INC,Common Stock,88830R101,"1,113","35,981",SH,,SOLE,,"8,037",0,"27,944"
TIVITY HEALTH INC,Common Stock,88870R102,"2,805","106,613",SH,,SOLE,,"101,442",0,"5,171"
TJX COS INC,Common Stock,872540109,"332,102","4,925,861",SH,,SOLE,,"3,710,863",0,"1,214,998"
